user_id,age,income,credit_score,num_late_payments,avg_days_overdue,bill_frequency,spending_ratio,savings_balance,loan_repayment_status,marital_status,social_media_sentiment,total_debt,debt_to_income_ratio,on_time_payment
1,56,8002,638,6,26,4,0.23,2526,1,Divorced,Positive,2409,0.53,1
2,69,2331,762,1,20,2,0.24,2867,0,Divorced,Neutral,9607,0.79,1
3,46,5261,692,12,4,1,0.49,3516,0,Divorced,Negative,7718,0.33,1
4,32,8648,614,8,5,5,0.64,3367,1,Divorced,Neutral,580,0.53,1
5,60,6115,625,9,16,2,0.17,2194,0,Married,Positive,2583,0.99,1
6,25,5637,748,1,0,4,0.95,3555,0,Single,Negative,2190,0.72,1
7,38,5854,692,2,30,2,0.78,445,0,Single,Negative,1256,0.86,1
8,56,4177,642,10,24,1,0.63,3626,1,Single,Neutral,3170,0.47,1
9,75,8730,773,12,18,3,0.85,4016,1,Married,Neutral,4251,0.79,1
10,36,3180,840,9,3,3,0.17,3875,1,Single,Negative,9159,0.14,1
11,40,5892,651,1,16,4,0.53,3337,1,Married,Neutral,5761,0.21,1
12,28,8043,816,2,8,4,0.67,261,1,Married,Positive,7352,0.28,1
13,28,1137,659,5,30,3,0.85,1848,0,Married,Neutral,1994,0.46,1
14,41,7327,814,8,23,4,0.81,4992,1,Single,Neutral,6240,0.86,1
15,70,4472,552,8,1,2,0.35,4025,0,Single,Negative,9711,0.41,0
16,53,6449,634,6,7,5,0.95,2266,1,Single,Neutral,8555,0.69,1
17,57,3832,831,11,14,5,0.21,91,0,Divorced,Neutral,1401,0.74,1
18,41,4579,666,2,6,2,0.89,4222,1,Married,Neutral,1172,0.63,1
19,20,6971,770,3,26,5,0.97,4175,1,Divorced,Positive,9130,0.42,1
20,39,5164,703,5,5,1,0.26,3309,1,Married,Neutral,944,0.62,1
21,70,8941,702,10,0,2,0.75,982,1,Single,Positive,9657,0.41,1
22,19,6569,561,4,14,4,0.14,3443,1,Married,Positive,9155,0.18,0
23,41,5300,682,1,22,2,0.46,2533,1,Married,Positive,2698,0.99,1
24,61,7269,842,12,25,3,0.56,693,0,Divorced,Positive,2787,0.21,1
25,47,4818,849,5,6,4,0.62,4120,1,Married,Negative,4508,0.17,1
26,55,2906,777,2,28,3,0.94,155,0,Single,Positive,9604,0.89,1
27,19,7254,820,7,29,4,0.71,3588,1,Married,Neutral,996,0.37,1
28,38,1760,592,1,24,5,0.53,1812,0,Married,Positive,1963,0.69,0
29,50,8830,570,0,16,2,0.83,4114,0,Married,Neutral,7328,0.4,0
30,29,8350,656,8,1,1,0.96,1407,0,Divorced,Positive,4753,0.45,1
31,75,7238,666,11,26,4,0.12,1216,0,Married,Negative,993,0.34,1
32,39,7090,673,2,8,4,0.98,1410,0,Married,Positive,5565,0.41,1
33,61,7031,830,10,28,3,0.18,3497,0,Divorced,Positive,5930,0.47,1
34,42,8687,841,0,8,5,0.83,4372,1,Divorced,Negative,1926,0.75,1
35,66,9472,752,6,12,3,0.35,4840,0,Divorced,Positive,2293,0.56,1
36,44,2887,600,12,5,3,0.22,551,1,Divorced,Neutral,3223,0.95,1
37,59,4266,820,9,5,5,0.5,3394,1,Single,Positive,1158,0.14,1
38,45,1666,826,4,19,1,0.68,1176,0,Single,Positive,5261,0.55,1
