Employee ID,Job Title,Years in Role,Performance Rating,Promotion,Satisfaction Level,Job Stability,Salary Growth Rate
bf418bab-ad88-4eeb-89df-a85eb623b475,Data Scientist,5,6,Yes,5,No,19.603484885117844
66236163-2fa5-4ea2-85ba-b00a3c1babda,Marketing Manager,1,8,No,5,No,13.137275597956819
20c5aecf-0bc5-49e7-b84c-d177aad77caf,Product Manager,3,10,Yes,2,Yes,9.180045301343734
c1b075f4-102d-469a-9a37-9cdd0ee3ca75,Software Engineer,9,9,No,8,Yes,9.28631760557271
06e56c0c-ddb9-4bc5-b22a-ac4c7874b057,Software Engineer,6,9,Yes,7,Yes,11.814852213098913
9d49e04a-0dbc-41ce-8df0-476dcdb4b588,HR Specialist,5,4,No,4,Yes,13.774947973637385
cfc8f600-faaa-4eff-a745-a48b70e6908f,Marketing Manager,6,2,No,9,No,7.702380069976806
466c481b-5d16-4578-9b5a-5ed5e30aeb6f,Data Scientist,1,5,Yes,7,No,11.853423019240825
e6d34b5f-4259-4fb2-b513-5f32c1875280,Product Manager,4,5,Yes,6,No,13.52963220329594
d7270773-c443-4133-9abe-4e844257e08d,Data Scientist,4,3,No,9,No,12.738052679206202
aeed5d4e-f5be-4bd1-a551-2349223a2824,Data Scientist,3,4,No,4,No,9.141552760608587
11a3c419-3da1-40e9-9006-8ecd1cd8775b,Data Scientist,8,1,No,9,No,5.847340211008688
a1704f43-8269-46d9-b4cf-2f6cce25cfc8,Product Manager,3,8,Yes,1,No,7.18751755372797
c231e56d-aa27-48c2-8de1-0d06f1946b71,HR Specialist,3,6,No,5,Yes,5.056152826954133
1024e7bd-a931-4e67-add3-7a91974ec179,Software Engineer,1,7,No,10,Yes,13.20245101754155
03ccc15b-9a30-42a6-b290-caa01e06449c,HR Specialist,10,8,No,2,No,8.283287956419446
26fbd6c6-3372-4d41-8fbf-2d1dd7263927,Software Engineer,2,8,No,10,No,12.006113470417857
9fb271d7-e47e-4ef7-982b-427de650a91e,Marketing Manager,9,4,Yes,5,No,18.886903725125418
dd9e2acd-3e00-4357-b13a-b59386c8d5b2,Product Manager,1,4,No,10,No,16.860104325527125
f4d81618-c51c-4bd2-b0ef-01ce57d02d14,Data Scientist,6,10,No,6,No,6.133940587791953
ea717afe-f061-4e6f-ac22-c45e84707666,Marketing Manager,8,1,Yes,3,No,12.744399352705823
3ca1e908-cdc2-4c5a-8517-b5d2aac181d2,Data Scientist,9,1,No,9,No,11.662408806197494
f3dbd31a-d1b1-4724-a926-63df768d67f8,Product Manager,8,5,No,8,No,18.593791917601568
10205d50-97db-47e7-8288-8d6884db7070,Data Scientist,4,9,No,2,Yes,18.46841857323597
c2f5f0a0-c97c-4230-836b-32d48b9b2cf4,Data Scientist,5,8,Yes,7,No,14.946039388112991
37c611b0-10b6-4240-8ba3-7aedb0d3de5c,Product Manager,8,6,Yes,8,No,7.103995904800239
c6e293a6-8200-4283-990b-c28f84274644,Software Engineer,4,9,Yes,7,No,6.557225221096278
a2814a54-7c92-42c0-87f6-a3041efef179,Product Manager,5,1,No,1,Yes,16.972028567524923
a16ed260-643e-4368-b43d-1558d29e7869,HR Specialist,10,8,Yes,4,No,16.37039004678742
133ae86a-2c58-4ca7-8b4d-ace1a23ba0e1,Software Engineer,7,6,No,2,No,13.55465146346128
56b2e327-964d-4038-bd02-8c34728a0c60,Product Manager,3,2,Yes,10,Yes,7.956187821740035
2fbd6922-e847-443c-b51e-1b1cff7c0457,Marketing Manager,7,4,No,9,No,17.561657859880867
0c10b793-597c-4d0a-9c6e-d2b261357bc0,Product Manager,8,1,No,3,Yes,15.419461617465435
68df045c-0b1e-4c7f-bf74-c254217fa8b9,Marketing Manager,3,3,Yes,7,No,9.727973035067672
ddb92191-ab29-4488-affa-a56402c77d7b,Software Engineer,7,6,Yes,8,No,12.434072301197267
28db115d-62f6-43b5-a70b-6cad372760d5,Marketing Manager,10,1,No,10,No,14.357683284557556
46ad1798-29e6-4f1f-9d78-c64e0f396ad9,Product Manager,7,5,No,9,No,13.290660151296906
8a88ec70-ceb1-4769-9859-5b90afbf090d,Product Manager,5,8,No,9,Yes,15.048147533507468
93142daf-cf0e-4219-8c2c-1e1506432e84,Product Manager,6,9,No,2,No,5.284682309022782
d4800dc7-6e55-4089-8f15-5abdc2de2572,Product Manager,8,5,No,4,No,11.915736962585179
02f0c255-3933-4efc-87c6-16ebe1043014,Marketing Manager,5,2,No,1,Yes,8.812323190467469
7951178e-ec75-461b-937a-b441d93a1448,Software Engineer,3,4,No,8,No,19.080285027960862
a4b928f1-0072-4ebc-bfbd-1dc1bb525320,HR Specialist,5,4,No,4,No,18.679163492517333
2f52a160-c86a-4a19-b1ed-b4274c36562c,HR Specialist,5,4,Yes,7,Yes,19.146608991952206
a9fbf9a6-a69c-49bd-8140-c81bf4ff9928,HR Specialist,6,3,Yes,5,No,16.94535837732655
7a17d103-68d6-4a0b-9aec-d6390de23096,Software Engineer,9,9,Yes,10,No,11.54504081391894
53baebbe-d212-467a-9fbb-2cf98e1182fd,Data Scientist,4,5,No,6,No,17.49462755087029
08059055-9eb5-41c9-8404-279e4ad8f430,Product Manager,9,5,No,7,No,10.584963835858115
946a5ab6-5d2c-40b1-b434-c289a38831a0,Product Manager,9,10,No,8,No,16.45514188253818
49cc2a10-b778-435a-bf24-5409432eba2d,Software Engineer,3,4,Yes,2,No,17.588024312156
a73253b8-c0df-4540-977c-2c1545bd560e,HR Specialist,8,9,Yes,1,Yes,6.871361478411296
9a622ee7-a9af-4e55-88bc-1054f4f86d57,Marketing Manager,5,3,No,6,No,8.235192924125876
84c289e8-3be9-4977-acfa-a2ac9be776ed,Marketing Manager,4,10,No,1,Yes,16.780973584460675
067494c6-3373-46d9-9e4b-c89c089eb6bc,Product Manager,5,1,No,10,Yes,15.670047841497734
d48b63bb-6189-40d6-b171-6521e2b626ab,Data Scientist,3,8,No,2,No,15.373047388722542
23864570-c038-493f-9941-fb4cafd945eb,Marketing Manager,9,7,No,4,No,7.295791470406735
ced4bf58-5952-4e9a-8f1d-5114dbae8594,Product Manager,10,4,Yes,3,No,9.43272916524339
7cd440fe-fb4c-4f43-82ab-a3387c1fcc32,Software Engineer,10,5,Yes,2,Yes,19.214873004743403
30c4ffd0-d578-4f4f-9207-db4fe4cc6a03,HR Specialist,4,8,Yes,4,No,13.706850047812205
d3f98e53-863b-4f2c-a362-8f2e6f406a51,Product Manager,7,4,No,7,No,19.539808660008333
a866b35b-e194-49f8-a839-11732aab5956,Software Engineer,9,7,No,2,No,10.305913994473023
fd0ec5c7-a53b-45c7-91ac-e80aca228e18,Data Scientist,5,2,No,2,No,10.32010402933653
